IMAGE NAME,BRISK,FAST,HARRIS,MIN8VAL,SURF,MSER
     Cena 01,1,4,0,10,11,2
     Cena 02,0,3,3,17,23,4
     Cena 03,0,0,0,16,0,0
     Cena 04,0,2,1,12,14,2
     Cena 05,3,1,0,12,24,21
     Cena 06,0,0,0,14,30,24
     Cena 07,0,2,2,15,32,9
     Cena 08,0,0,0,6,0,0
     Cena 09,0,1,7,48,15,6
     Cena 10,1,0,1,7,10,0
